"chrom_peak_id","lab","consensus_id","sample","mzMin","mzMax","rtMin","rtMax","mz","polarity","mixture","into","intb","maxo"
"CP171388","hmgu",2020,36,424.135546851755,424.176723298037,328.608821532359,338.970552560078,424.15654345995,0,"3_1",36973.7297224681,34844.9758002532,20942.0046327873
"CP171393","hmgu",2005,36,843.646009017561,843.687202158688,322.367244788045,338.237540445307,843.666624452563,0,"3_1",87046.5894433544,86932.6230596113,26098.2216500796
"CP171403","hmgu",2003,36,797.640596235197,797.682104272753,322.367244788045,341.75232783414,797.661276909405,0,"3_1",145595.574511338,145380.330292734,51838.9292903744
"CP171411","hmgu",2026,36,496.2525452359,496.295682466941,327.032985184978,341.07393424968,496.273896732324,0,"3_1",124807.056934752,119073.647915335,41363.650109059
"CP171413","hmgu",2009,36,287.165957945503,287.206424944604,344.707738524497,352.075173824367,287.186219032172,0,"3_1",1981.43635418233,1978.70755418233,1152.35677572256
"CP171414","hmgu",2002,36,776.662453443547,776.709210474521,321.660731395646,337.566169068856,776.683497834397,0,"3_1",878535.230176076,878375.718490309,442125.077169232
"CP171469","hmgu",1997,36,599.189489230849,599.237613158086,351.658762264454,363.131541832832,599.214952908814,0,"3_1",20313.6270089849,19725.4694079906,5996.48940622184
"CP171474","hmgu",1998,36,600.189792296321,600.23861939861,350.927696155278,363.871692406102,600.214024729385,0,"3_1",11297.8358998895,11146.244988093,3128.33649811108
"CP171519","hmgu",2030,36,502.27224024077,502.314149142482,351.658762264454,363.131541832832,502.292969272934,0,"3_1",83059.5661080635,83030.9799557922,25925.1621476284
"CP171525","hmgu",1995,36,568.254776467095,568.305007638338,353.771341923611,363.871692406102,568.27782210807,0,"3_1",25493.8670813102,25415.9895285094,7860.40808912896
"CP171527","hmgu",2000,36,628.225036241115,628.272692703532,353.771341923611,363.871692406102,628.248488500926,0,"3_1",16144.3671685631,16088.9987478768,5895.88436906445
"CP171532","hmgu",1993,36,566.25618203404,566.298418356428,353.771341923611,363.871692406102,566.277075753642,0,"3_1",215323.271224184,213893.530928627,52807.7871696331
"CP171534","hmgu",1994,36,567.258694864489,567.301987838618,350.927696155278,364.468630689308,567.27953238366,0,"3_1",93040.0731035137,92654.159690753,17223.3559391951
"CP171535","hmgu",1996,36,598.192117383585,598.23582314804,350.927696155278,363.871692406102,598.21399719192,0,"3_1",49539.6206655791,49489.863920875,14310.4553699511
"CP171712","hmgu",2010,36,293.155121501386,293.196018442056,375.844205568579,394.654173040096,293.175761812043,0,"3_1",166307.60998394,165312.228002095,88670.194677549
"CP171721","hmgu",2021,36,447.133658347063,447.18078129291,400.323884448417,408.573856269417,447.157192523624,0,"3_1",950.460945259675,929.755888389308,403.401396883015
"CP171722","hmgu",2025,36,480.258073245986,480.299231645945,396.739174866504,408.573856269417,480.278862265302,0,"3_1",59902.4116736988,58566.69895748,26803.900784523
"CP171750","hmgu",2012,36,322.138968553192,322.180761987436,401.722176812503,412.647967019731,322.160413814508,0,"3_1",21469.9500002955,21406.0553419505,9213.07512879498
"CP171761","hmgu",2024,36,473.148448016323,473.195055344517,401.722176812503,410.533198172519,473.17268229262,0,"3_1",6876.5883397072,6713.20952059975,2989.63672171498
"CP171803","hmgu",2019,36,413.164478602361,413.206978419246,398.243980698408,418.217768413382,413.185821670876,0,"3_1",35383.9300483914,35268.6318457782,10601.455674935
"CP171858","hmgu",2018,36,412.162901307813,412.203673723682,398.243980698408,418.971652107382,412.183314876734,0,"3_1",311550.092533018,310755.220625693,102119.482658774
"CP171950","hmgu",2023,36,471.180392263689,471.22254445246,441.590444572933,451.150408989138,471.201548439684,0,"3_1",2202.63322328203,2194.98675297169,637.65845013439
"CP171961","hmgu",2022,36,470.17748169638,470.219711576564,441.590444572933,453.225963579962,470.198971018736,0,"3_1",7649.18972247902,7513.9402407591,2425.4364679275
"CP172163","hmgu",2031,36,504.194941130365,504.238111972179,490.713066840239,499.071961790824,504.216577335995,0,"3_1",611.758935028445,604.186965017624,241.811642123963
"CP172289","icl",2585,9,91.0334362792969,91.0762253735129,210.456190164577,221.796799218482,91.054741982413,1,"2_2",6037.12512739828,5045.80950770183,3134.37390136719
"CP172308","hmgu",1992,36,525.196829113413,525.241839998666,489.94013980451,501.255336975372,525.218396406826,0,"3_1",5404.35325711783,4917.25863705684,1305.36089898704
"CP172311","hmgu",2033,36,523.200471286345,523.242811332213,489.335885712135,504.093914315367,523.221894157533,0,"3_1",10726.5209978976,9741.15653781975,2374.38089637253
"CP172358","hmgu",2015,36,376.274210277992,376.315205068347,489.94013980451,503.404504014259,376.294671612974,0,"3_1",302699.761243205,301759.486444501,123263.578351464
"CP172448","afekta",101,10,178.925427637375,178.96669734981,24.7354912934994,45.3234821168206,178.945997089367,1,"2_3",247883.678957024,244144.686957449,44680.1328125
"CP172769","hmgu",2017,36,405.139135055112,405.18104333557,586.887959947186,595.196172763341,405.159559825675,0,"3_1",760.956980488144,757.400313821494,310.94823127882
"CP172783","hmgu",2016,36,403.14302198267,403.185524365254,586.887959947186,595.196172763341,403.164112157675,0,"3_1",1691.90191512417,1686.70647159538,741.60160419994
"CP172785","hmgu",1999,36,613.373427543911,613.422312976445,586.887959947186,595.882574645297,613.399063934381,0,"3_1",1080.60151197562,1023.41040389871,395.518837423162
"CP172788","hmgu",2013,36,355.137021996945,355.179045101966,586.887959947186,596.518535474199,355.158307609668,0,"3_1",1801.87273038933,1792.0621239132,732.875025702228
"CP173216","icl",2551,9,335.112895361882,335.172351673077,233.611327808121,242.749782402135,335.141119113307,1,"2_2",17140.1553971049,15337.6927040731,10081.4338378906
"CP173331","icl",2554,9,432.254644966093,432.296111815516,222.377975511416,236.694098725083,432.275654620166,1,"2_2",689930.677924801,685679.940353872,287520.056365967
"CP173830","hmgu",2083,37,165.997086006492,166.037755378337,35.4818673036241,43.6693338743373,166.017469047329,0,"3_2",2070.99362159006,2064.19842344729,1569.64224045499
